дата,выход,направление
2019-04-16,67.59520157373085,л
2019-04-17,67.6192874642141,л
2019-04-18,67.4080127800493,ш
2019-04-19,67.09641111557455,ш
2019-04-22,66.64761945421863,л
2019-04-23,66.43267941749016,ш
2019-04-24,66.39192230886104,л
2019-04-25,66.26664749655099,л
2019-04-26,66.06789184531104,ш
2019-04-29,66.0822570887471,ш
2019-04-30,66.04869859516761,л
2019-05-02,66.2568015260827,ш
2019-05-03,66.24084951860236,ш
2019-05-06,66.73091910174855,ш
2019-05-07,66.81847114166388,ш
2019-05-08,67.06169100038997,л
2019-05-10,67.2221821830485,л
2019-05-13,67.67420461631757,л
2019-05-14,67.69575344134824,л
2019-05-15,67.84946597180439,л
2019-05-16,67.87230000103162,ш
2019-05-17,67.77225957036195,л
2019-05-20,67.7767272362708,л
2019-05-21,67.6414993870501,ш
2019-05-22,67.64181079633936,ш
2019-05-23,67.51875719303798,л
2019-05-24,67.28421533571138,л
2019-05-27,66.98622027497605,ш
2019-05-28,66.79220204921118,л
2019-05-29,66.75742630906342,ш
2019-05-30,66.6236318806326,ш
2019-05-31,66.40267400476198,ш
2019-06-03,66.2815525786224,ш
2019-06-04,66.18566328548273,ш
2019-06-05,66.26424601013636,ш
2019-06-06,66.25583421965017,ш
2019-06-07,66.16880885337919,л
2019-06-10,66.46408829811853,ш
2019-06-11,66.49968960202798,л
2019-06-13,66.80169642063692,л
2019-06-14,66.80935609729352,ш
2019-06-17,67.27905884070103,л
2019-06-18,67.33237856102267,ш
2019-06-19,67.53000870184167,л
2019-06-20,67.60792994433129,л
2019-06-21,67.57286508182551,л
2019-06-24,67.81490532242543,л
2019-06-25,67.76651030119115,ш
2019-06-26,67.85384004926715,л
2019-06-27,67.81570048938865,л
2019-06-28,67.66276414956101,л
2019-07-01,67.56120067843678,л
2019-07-02,67.40981642927926,л
2019-07-03,67.40333890679995,ш
2019-07-04,67.28209133405893,л
2019-07-05,67.05676932633764,ш
2019-07-08,66.81362729474021,л
2019-07-09,66.63968465600236,л
2019-07-10,66.62168831359487,л
2019-07-11,66.49866842341271,л
2019-07-12,66.27974430360756,ш
2019-07-15,66.08609481811425,л
2019-07-16,65.93199600408863,ш
2019-07-17,65.93213001846799,л
2019-07-18,65.82363464687423,л
2019-07-19,65.61392043163283,ш
2019-07-22,65.40280981882039,л
2019-07-23,65.22504724709303,л
2019-07-24,65.19208088641642,л
2019-07-25,65.04130107344253,ш
2019-07-26,64.78074079267431,ш
2019-07-29,64.37702522932032,л
2019-07-30,64.12691255533647,л
2019-07-31,64.02067722017433,л
2019-08-01,63.83210452027315,л
2019-08-02,63.53709278018341,ш
2019-08-05,63.07102369249631,ш
2019-08-06,62.82012613251347,ш
2019-08-07,62.725740542835354,ш
2019-08-08,62.528517289335916,л
2019-08-09,62.23946232237583,л
2019-08-12,61.88150291659097,л
2019-08-13,61.695668296053015,л
2019-08-14,61.679394565799626,ш
2019-08-15,61.57193446117365,л
